area;type;access;http;card;list;labels;place;name;url;cardUrl
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"1.3. Финансовая модель";"План на апрель";"";"вложение";"Argentina и Arabic-MENA для Confideline.md";"https://trello.com/1/cards/69415a6637091f5e1cd07874/attachments/69f79775f6e2a578f452345a/download/Argentina_%D0%B8_Arabic-MENA_%D0%B4%D0%BB%D1%8F_Confideline.md";"https://trello.com/c/4hV0eVRd/209-13-%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B0%D1%8F-%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"1.3. Финансовая модель";"План на апрель";"";"вложение";"CRM - Retention - Same-Advisor Follow-Up Pack для Confideline.md";"https://trello.com/1/cards/69415a6637091f5e1cd07874/attachments/69f79775160a18d15860c1d2/download/CRM_-_Retention_-_Same-Advisor_Follow-Up_Pack_%D0%B4%D0%BB%D1%8F_Confideline.md";"https://trello.com/c/4hV0eVRd/209-13-%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B0%D1%8F-%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"1.3. Финансовая модель";"План на апрель";"";"вложение";"Financial Model and Unit Economics Pack for Confideline.md";"https://trello.com/1/cards/69415a6637091f5e1cd07874/attachments/69f79776ddf897d3760cd05d/download/Financial_Model_and_Unit_Economics_Pack_for_Confideline.md";"https://trello.com/c/4hV0eVRd/209-13-%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B0%D1%8F-%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"1.3. Финансовая модель";"План на апрель";"";"вложение";"Competitor Funnel Teardown для Confideline.md";"https://trello.com/1/cards/69415a6637091f5e1cd07874/attachments/69f79777c8bb9740941bb1bb/download/Competitor_Funnel_Teardown_%D0%B4%D0%BB%D1%8F_Confideline.md";"https://trello.com/c/4hV0eVRd/209-13-%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B0%D1%8F-%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"1.3. Финансовая модель";"План на апрель";"";"вложение";"Language-market SEO opportunity matrix для Confideline.md";"https://trello.com/1/cards/69415a6637091f5e1cd07874/attachments/69f797771c3c7af34dbaf24b/download/Language-market_SEO_opportunity_matrix_%D0%B4%D0%BB%D1%8F_Confideline.md";"https://trello.com/c/4hV0eVRd/209-13-%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B0%D1%8F-%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C"
"обучение / эксперты";"документ Google";"открывается";"200";"Детектор ИИ текстов для Ксении";"План на апрель";"";"описание";"";"https://docs.google.com/document/d/13BC0dmzAVFrE7Y9B2iZP6lHwQ_1elmzSDXUOwfiav1c/edit?usp=sharing";"https://trello.com/c/GP2CEfXt/280-%D0%B4%D0%B5%D1%82%D0%B5%D0%BA%D1%82%D0%BE%D1%80-%D0%B8%D0%B8-%D1%82%D0%B5%D0%BA%D1%81%D1%82%D0%BE%D0%B2-%D0%B4%D0%BB%D1%8F-%D0%BA%D1%81%D0%B5%D0%BD%D0%B8%D0%B8"
"дизайн / frontend";"документ Google";"открывается";"200";"Необходимо продумать дизайн-макет станицы чата в ЛК (Небула)";"План на апрель";"";"описание";"";"https://docs.google.com/document/d/1I7WmcdGxNKP4_Us_FtPCF56wacBYzB9-hRvYsUtnMYU/edit?tab=t.0";"https://trello.com/c/kc6DFwoU/282-%D0%BD%D0%B5%D0%BE%D0%B1%D1%85%D0%BE%D0%B4%D0%B8%D0%BC%D0%BE-%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BC%D0%B0%D1%82%D1%8C-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82-%D1%81%D1%82%D0%B0%D0%BD%D0%B8%D1%86%D1%8B-%D1%87%D0%B0%D1%82%D0%B0-%D0%B2-%D0%BB%D0%BA-%D0%BD%D0%B5%D0%B1%D1%83%D0%BB%D0%B0"
"дизайн / frontend";"таблица Google";"открывается";"200";"Необходимо продумать дизайн-макет станицы чата в ЛК (Небула)";"План на апрель";"";"описание";"";"https://docs.google.com/spreadsheets/d/13_4Fj6LGUI0omzjYprnC-RxzcHE1meY6o4wbzrhSrlw/edit?usp=sharing";"https://trello.com/c/kc6DFwoU/282-%D0%BD%D0%B5%D0%BE%D0%B1%D1%85%D0%BE%D0%B4%D0%B8%D0%BC%D0%BE-%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BC%D0%B0%D1%82%D1%8C-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82-%D1%81%D1%82%D0%B0%D0%BD%D0%B8%D1%86%D1%8B-%D1%87%D0%B0%D1%82%D0%B0-%D0%B2-%D0%BB%D0%BA-%D0%BD%D0%B5%D0%B1%D1%83%D0%BB%D0%B0"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Необходимо продумать дизайн-макет станицы чата в ЛК (Небула)";"План на апрель";"";"вложение";"image.png";"https://trello.com/1/cards/69e7180aee98a89258192be0/attachments/69e7182f85028e33b09d2afd/download/image.png";"https://trello.com/c/kc6DFwoU/282-%D0%BD%D0%B5%D0%BE%D0%B1%D1%85%D0%BE%D0%B4%D0%B8%D0%BC%D0%BE-%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BC%D0%B0%D1%82%D1%8C-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82-%D1%81%D1%82%D0%B0%D0%BD%D0%B8%D1%86%D1%8B-%D1%87%D0%B0%D1%82%D0%B0-%D0%B2-%D0%BB%D0%BA-%D0%BD%D0%B5%D0%B1%D1%83%D0%BB%D0%B0"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Необходимо продумать дизайн-макет станицы чата в ЛК (Небула)";"План на апрель";"";"вложение";"image.png";"https://trello.com/1/cards/69e7180aee98a89258192be0/attachments/69e729fea09f6e6d3ad88034/download/image.png";"https://trello.com/c/kc6DFwoU/282-%D0%BD%D0%B5%D0%BE%D0%B1%D1%85%D0%BE%D0%B4%D0%B8%D0%BC%D0%BE-%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BC%D0%B0%D1%82%D1%8C-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82-%D1%81%D1%82%D0%B0%D0%BD%D0%B8%D1%86%D1%8B-%D1%87%D0%B0%D1%82%D0%B0-%D0%B2-%D0%BB%D0%BA-%D0%BD%D0%B5%D0%B1%D1%83%D0%BB%D0%B0"
"дизайн / frontend";"публичная web-панель";"открывается";"200";"Продумать алгоритм работу с учетом Codex";"План на май";"";"описание";"";"https://cutthreat.github.io/confideline/web/blue-panel/index.html";"https://trello.com/c/RrLjz3FO/285-%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BC%D0%B0%D1%82%D1%8C-%D0%B0%D0%BB%D0%B3%D0%BE%D1%80%D0%B8%D1%82%D0%BC-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%83-%D1%81-%D1%83%D1%87%D0%B5%D1%82%D0%BE%D0%BC-codex"
"общий источник";"публичная web-панель";"открывается";"200";"ИИ-тестировщик";"План на май";"";"описание";"";"https://cutthreat.github.io/confideline/web/qa-reports/";"https://trello.com/c/EsBbyMOL/287-%D0%B8%D0%B8-%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA"
"общий источник";"публичная web-панель";"открывается";"200";"Аудит функционала сайта";"План на май";"";"описание";"";"https://cutthreat.github.io/confideline/web/blue-panel/docs/launch-readiness-architecture.html";"https://trello.com/c/8aa6yCgW/238-%D0%B0%D1%83%D0%B4%D0%B8%D1%82-%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D0%B0-%D1%81%D0%B0%D0%B9%D1%82%D0%B0"
"дизайн / frontend";"публичная web-панель";"открывается";"200";"ТЗ по детальнйо аналитике";"План на май";"На согласование";"описание";"";"https://cutthreat.github.io/confideline/web/partner-interactions-analytics/";"https://trello.com/c/LU7bhqD1/278-%D1%82%D0%B7-%D0%BF%D0%BE-%D0%B4%D0%B5%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B9%D0%BE-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B5"
"общий источник";"публичная web-панель";"открывается";"200";"ТЗ по ролям админ-панели";"План на май";"На согласование";"описание";"";"https://cutthreat.github.io/confideline/web/admin-roles-tz-panel.html";"https://trello.com/c/4nzfjUBq/289-%D1%82%D0%B7-%D0%BF%D0%BE-%D1%80%D0%BE%D0%BB%D1%8F%D0%BC-%D0%B0%D0%B4%D0%BC%D0%B8%D0%BD-%D0%BF%D0%B0%D0%BD%D0%B5%D0%BB%D0%B8"
"общий источник";"другое";"доступ не проверен";"";"Скрипт для загрузки текстов на сайт Confideline";"План на май";"";"описание";"";"http://Confideline.com";"https://trello.com/c/YVFB8NoL/296-%D1%81%D0%BA%D1%80%D0%B8%D0%BF%D1%82-%D0%B4%D0%BB%D1%8F-%D0%B7%D0%B0%D0%B3%D1%80%D1%83%D0%B7%D0%BA%D0%B8-%D1%82%D0%B5%D0%BA%D1%81%D1%82%D0%BE%D0%B2-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82-confideline"
"общий источник";"другое";"доступ не проверен";"";"Скрипт для загрузки текстов на сайт Confideline";"План на май";"";"описание";"";"https://confideline.com/ru/country/united-states";"https://trello.com/c/YVFB8NoL/296-%D1%81%D0%BA%D1%80%D0%B8%D0%BF%D1%82-%D0%B4%D0%BB%D1%8F-%D0%B7%D0%B0%D0%B3%D1%80%D1%83%D0%B7%D0%BA%D0%B8-%D1%82%D0%B5%D0%BA%D1%81%D1%82%D0%BE%D0%B2-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82-confideline"
"общий источник";"другое";"доступ не проверен";"";"Скрипт для загрузки текстов на сайт Confideline";"План на май";"";"описание";"";"https://confideline.com/ru/country";"https://trello.com/c/YVFB8NoL/296-%D1%81%D0%BA%D1%80%D0%B8%D0%BF%D1%82-%D0%B4%D0%BB%D1%8F-%D0%B7%D0%B0%D0%B3%D1%80%D1%83%D0%B7%D0%BA%D0%B8-%D1%82%D0%B5%D0%BA%D1%81%D1%82%D0%BE%D0%B2-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82-confideline"
"дизайн / frontend";"публичная web-панель";"открывается";"200";"Новый макет страны / города";"План на май";"";"описание";"";"https://cutthreat.github.io/confideline/web/geo-india-country-preview.html";"https://trello.com/c/PrkrhWqN/297-%D0%BD%D0%BE%D0%B2%D1%8B%D0%B9-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D1%8B-%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B0"
"дизайн / frontend";"публичная web-панель";"открывается";"200";"Новый макет страны / города";"План на май";"";"описание";"";"https://cutthreat.github.io/confideline/web/geo-delhi-city-preview.html";"https://trello.com/c/PrkrhWqN/297-%D0%BD%D0%BE%D0%B2%D1%8B%D0%B9-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D1%8B-%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B0"
"дизайн / frontend";"таблица Google";"открывается";"200";"Работа с Антоном / май";"План на май";"";"описание";"";"https://docs.google.com/spreadsheets/d/13_4Fj6LGUI0omzjYprnC-RxzcHE1meY6o4wbzrhSrlw/edit?gid=0#gid=0";"https://trello.com/c/G9lFHL6j/300-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0-%D1%81-%D0%B0%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%BC-%D0%BC%D0%B0%D0%B9"
"дизайн / frontend";"презентация Google";"открывается";"200";"Работа с Антоном / май";"План на май";"";"описание";"";"https://docs.google.com/presentation/d/18O0IlPnCkeS5Zv7uqlk7yBrqBwkUSQw0dsmT7EbibE8/edit?usp=sharing";"https://trello.com/c/G9lFHL6j/300-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0-%D1%81-%D0%B0%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%BC-%D0%BC%D0%B0%D0%B9"
"стратегия / маркетинг";"публичная web-панель";"открывается";"200";"JUN-01 — Внедрение Codex plan и Codex PM";"План на Июнь";"Codex";"описание";"";"https://cutthreat.github.io/confideline/web/blue-panel/docs/june-plan.html?v=6a04e55#jun-01";"https://trello.com/c/gJnFd2wT/298-jun-01-%D0%B2%D0%BD%D0%B5%D0%B4%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-codex-plan-%D0%B8-codex-pm"
"дизайн / frontend";"публичная web-панель";"открывается";"200";"JUN-02 — Классифицировать связанные ТЗ и макеты через Codex";"План на Июнь";"Codex";"описание";"";"https://cutthreat.github.io/confideline/web/blue-panel/docs/jun-02-ready-tz-triage.html?v=a736af7";"https://trello.com/c/awgleR9M/290-jun-02-%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D1%84%D0%B8%D1%86%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D1%82%D1%8C-%D1%81%D0%B2%D1%8F%D0%B7%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5-%D1%82%D0%B7-%D0%B8-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D1%87%D0%B5%D1%80%D0%B5%D0%B7-codex"
"дизайн / frontend";"публичная web-панель";"открывается";"200";"JUN-02 — Классифицировать связанные ТЗ и макеты через Codex";"План на Июнь";"Codex";"описание";"";"https://cutthreat.github.io/confideline/web/blue-panel/docs/trello-update-label-rule.html?v=a736af7";"https://trello.com/c/awgleR9M/290-jun-02-%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D1%84%D0%B8%D1%86%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D1%82%D1%8C-%D1%81%D0%B2%D1%8F%D0%B7%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5-%D1%82%D0%B7-%D0%B8-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D1%87%D0%B5%D1%80%D0%B5%D0%B7-codex"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"JUN-02 — Классифицировать связанные ТЗ и макеты через Codex";"План на Июнь";"Codex";"вложение";"https://trello.com/c/RX4P6jw5/236-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D0%B4%D0%BB%D1%8F-%D0%BF%D0%BE%D1%87%D1%82%D0%BE%D0%B2%D1%8B%D1%85-%D1%80%D0%B0%D1%81%D1%81%D1%8B%D0%BB%D0%BE%D0%BA-%D0%B8%D0%B8";"https://trello.com/c/RX4P6jw5/236-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D0%B4%D0%BB%D1%8F-%D0%BF%D0%BE%D1%87%D1%82%D0%BE%D0%B2%D1%8B%D1%85-%D1%80%D0%B0%D1%81%D1%81%D1%8B%D0%BB%D0%BE%D0%BA-%D0%B8%D0%B8";"https://trello.com/c/awgleR9M/290-jun-02-%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D1%84%D0%B8%D1%86%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D1%82%D1%8C-%D1%81%D0%B2%D1%8F%D0%B7%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5-%D1%82%D0%B7-%D0%B8-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D1%87%D0%B5%D1%80%D0%B5%D0%B7-codex"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"JUN-02 — Классифицировать связанные ТЗ и макеты через Codex";"План на Июнь";"Codex";"вложение";"https://trello.com/c/IRQiN429/233-%D1%82%D0%B7-%D0%BF%D0%BE-%D1%82%D0%B5%D1%85-%D0%BF%D0%BE%D0%B4%D0%B4%D0%B5%D1%80%D0%B6%D0%BA%D0%B5-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82%D0%B5-%D1%81%D1%83%D0%BF%D0%BF%D0%BE%D1%80%D1%82";"https://trello.com/c/IRQiN429/233-%D1%82%D0%B7-%D0%BF%D0%BE-%D1%82%D0%B5%D1%85-%D0%BF%D0%BE%D0%B4%D0%B4%D0%B5%D1%80%D0%B6%D0%BA%D0%B5-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82%D0%B5-%D1%81%D1%83%D0%BF%D0%BF%D0%BE%D1%80%D1%82";"https://trello.com/c/awgleR9M/290-jun-02-%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D1%84%D0%B8%D1%86%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D1%82%D1%8C-%D1%81%D0%B2%D1%8F%D0%B7%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5-%D1%82%D0%B7-%D0%B8-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D1%87%D0%B5%D1%80%D0%B5%D0%B7-codex"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"JUN-02 — Классифицировать связанные ТЗ и макеты через Codex";"План на Июнь";"Codex";"вложение";"https://trello.com/c/LYz7x7QS/212-%D1%82%D0%B7-%D0%BE%D0%B3%D1%80%D0%B0%D0%BD%D0%B8%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BE%D1%82%D0%BF%D1%80%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BA%D0%BE%D0%BD%D1%82%D0%B0%D0%BA%D1%82%D0%BE%D0%B2-%D0%B2-%D1%87%D0%B0%D1%82%D0%B5";"https://trello.com/c/LYz7x7QS/212-%D1%82%D0%B7-%D0%BE%D0%B3%D1%80%D0%B0%D0%BD%D0%B8%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BE%D1%82%D0%BF%D1%80%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BA%D0%BE%D0%BD%D1%82%D0%B0%D0%BA%D1%82%D0%BE%D0%B2-%D0%B2-%D1%87%D0%B0%D1%82%D0%B5";"https://trello.com/c/awgleR9M/290-jun-02-%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D1%84%D0%B8%D1%86%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D1%82%D1%8C-%D1%81%D0%B2%D1%8F%D0%B7%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5-%D1%82%D0%B7-%D0%B8-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D1%87%D0%B5%D1%80%D0%B5%D0%B7-codex"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"JUN-02 — Классифицировать связанные ТЗ и макеты через Codex";"План на Июнь";"Codex";"вложение";"https://trello.com/c/GVvW2vR6/210-%D1%82%D0%B7-%D0%BE%D1%82%D0%B7%D1%8B%D0%B2%D1%8B-%D0%B8-%D1%80%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3-%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%81%D1%82%D0%BE%D0%B2-%D0%BA%D0%B0%D1%80%D1%82%D0%BE%D1%87%D0%B5%D0%BA-";"https://trello.com/c/GVvW2vR6/210-%D1%82%D0%B7-%D0%BE%D1%82%D0%B7%D1%8B%D0%B2%D1%8B-%D0%B8-%D1%80%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3-%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%81%D1%82%D0%BE%D0%B2-%D0%BA%D0%B0%D1%80%D1%82%D0%BE%D1%87%D0%B5%D0%BA-%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%81%D1%82%D0%BE%D0%B2";"https://trello.com/c/awgleR9M/290-jun-02-%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D1%84%D0%B8%D1%86%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D1%82%D1%8C-%D1%81%D0%B2%D1%8F%D0%B7%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5-%D1%82%D0%B7-%D0%B8-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D1%87%D0%B5%D1%80%D0%B5%D0%B7-codex"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"JUN-02 — Классифицировать связанные ТЗ и макеты через Codex";"План на Июнь";"Codex";"вложение";"https://trello.com/c/tHaAg57o/192-%D1%82%D0%B7-%D0%BF%D0%BE-%D1%83%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8E-email-%D1%80%D0%B0%D1%81%D1%81%D1%8B%D0%BB%D0%BA%D0%B8-%D0%B8%D0%B7-%D0%B0%D0%B4%D0%BC%D0%B8%D0%BD%D0%BA%D0%B8";"https://trello.com/c/tHaAg57o/192-%D1%82%D0%B7-%D0%BF%D0%BE-%D1%83%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8E-email-%D1%80%D0%B0%D1%81%D1%81%D1%8B%D0%BB%D0%BA%D0%B8-%D0%B8%D0%B7-%D0%B0%D0%B4%D0%BC%D0%B8%D0%BD%D0%BA%D0%B8";"https://trello.com/c/awgleR9M/290-jun-02-%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D1%84%D0%B8%D1%86%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D1%82%D1%8C-%D1%81%D0%B2%D1%8F%D0%B7%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5-%D1%82%D0%B7-%D0%B8-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D1%87%D0%B5%D1%80%D0%B5%D0%B7-codex"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"JUN-02 — Классифицировать связанные ТЗ и макеты через Codex";"План на Июнь";"Codex";"вложение";"https://trello.com/c/CxEVl1q3/166-%D0%BE%D1%82%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%BA%D0%B0-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D1%83-%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B0";"https://trello.com/c/CxEVl1q3/166-%D0%BE%D1%82%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%BA%D0%B0-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D1%83-%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B0";"https://trello.com/c/awgleR9M/290-jun-02-%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D1%84%D0%B8%D1%86%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D1%82%D1%8C-%D1%81%D0%B2%D1%8F%D0%B7%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5-%D1%82%D0%B7-%D0%B8-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D1%87%D0%B5%D1%80%D0%B5%D0%B7-codex"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"JUN-02 — Классифицировать связанные ТЗ и макеты через Codex";"План на Июнь";"Codex";"вложение";"https://trello.com/c/PiXjxgGt/225-%D0%BF%D0%B5%D1%80%D0%B5%D0%B4%D0%B5%D0%BB%D0%B0%D1%82%D1%8C-%D0%B4%D0%B8%D0%B0%D0%BB%D0%BE%D0%B3%D0%BE%D0%B2%D1%8B%D0%B5-%D0%BE%D0%BA%D0%BD%D0%B0";"https://trello.com/c/PiXjxgGt/225-%D0%BF%D0%B5%D1%80%D0%B5%D0%B4%D0%B5%D0%BB%D0%B0%D1%82%D1%8C-%D0%B4%D0%B8%D0%B0%D0%BB%D0%BE%D0%B3%D0%BE%D0%B2%D1%8B%D0%B5-%D0%BE%D0%BA%D0%BD%D0%B0";"https://trello.com/c/awgleR9M/290-jun-02-%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D1%84%D0%B8%D1%86%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D1%82%D1%8C-%D1%81%D0%B2%D1%8F%D0%B7%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5-%D1%82%D0%B7-%D0%B8-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D1%87%D0%B5%D1%80%D0%B5%D0%B7-codex"
"дизайн / frontend";"публичная web-панель";"открывается";"200";"JUN-02 — Классифицировать связанные ТЗ и макеты через Codex";"План на Июнь";"Codex";"вложение";"Blue panel (by Codex)";"https://cutthreat.github.io/confideline/web/blue-panel/docs/june-plan.html?v=6a04e55#jun-02";"https://trello.com/c/awgleR9M/290-jun-02-%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D1%84%D0%B8%D1%86%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D1%82%D1%8C-%D1%81%D0%B2%D1%8F%D0%B7%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5-%D1%82%D0%B7-%D0%B8-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D1%87%D0%B5%D1%80%D0%B5%D0%B7-codex"
"дизайн / frontend";"публичная web-панель";"открывается";"200";"JUN-02 — Классифицировать связанные ТЗ и макеты через Codex";"План на Июнь";"Codex";"вложение";"JUN-02 result: разбор готовых ТЗ и макетов (by Codex)";"https://cutthreat.github.io/confideline/web/blue-panel/docs/jun-02-ready-tz-triage.html?v=3b287fd";"https://trello.com/c/awgleR9M/290-jun-02-%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D1%84%D0%B8%D1%86%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D1%82%D1%8C-%D1%81%D0%B2%D1%8F%D0%B7%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5-%D1%82%D0%B7-%D0%B8-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D1%87%D0%B5%D1%80%D0%B5%D0%B7-codex"
"email / уведомления";"публичная web-панель";"открывается";"200";"JUN-03 — Email templates, уведомления и рассылки";"План на Июнь";"Codex";"описание";"";"https://cutthreat.github.io/confideline/web/blue-panel/docs/june-plan.html?v=6a04e55#jun-03";"https://trello.com/c/e8aFOO8G/299-jun-03-email-templates-%D1%83%D0%B2%D0%B5%D0%B4%D0%BE%D0%BC%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F-%D0%B8-%D1%80%D0%B0%D1%81%D1%81%D1%8B%D0%BB%D0%BA%D0%B8"
